id,dimension,indicator_key,indicator_name,description,unit,interpretation_guide
afb8049e-aaa7-4460-8f06-a3aab80b0795,economic,gdp,PIB (Produto Interno Bruto),Soma de todas as riquezas produzidas no território em um ano. Indica o tamanho da economia local.,R$ bilhões,Valores maiores indicam economia mais robusta. Crescimento positivo ano a ano é sinal de desenvolvimento econômico.
19ac3cfb-210e-4a37-8dd0-6916c71dd037,economic,gdpPerCapita,PIB per Capita,PIB dividido pela população. Representa a renda média teórica por habitante.,R$,Valores mais altos indicam maior riqueza distribuída por pessoa. Útil para comparar territórios de tamanhos diferentes.
b0ab9dc3-c2d9-4967-88f4-304257ef4772,economic,employmentRate,Taxa de Emprego,Percentual da população economicamente ativa que está empregada formalmente.,%,Valores entre 60-75% são considerados saudáveis. Acima de 75% é excelente. Abaixo de 60% indica problemas no mercado de trabalho.
95d15f36-d41b-4f04-957b-3cdc297930bc,economic,revenue,Receita Pública,"Total de recursos arrecadados pelo governo do território (impostos, taxas, transferências).",R$ milhões,Receitas maiores permitem mais investimentos públicos. Crescimento sustentado indica fortalecimento da capacidade fiscal.
a7ad4bce-246f-4861-a0ec-ac3981e8a119,social,idhm,IDH-M (Índice de Desenvolvimento Humano Municipal),"Média de três dimensões: longevidade, educação e renda. Varia de 0 a 1.",índice (0-1),"Abaixo de 0,600: Muito Baixo | 0,600-0,699: Baixo | 0,700-0,799: Médio | 0,800-1,000: Alto desenvolvimento humano."
7840c9d9-ec09-4adb-87cf-f7e0b5df6a92,social,population,População Total,Número total de habitantes residentes no território.,habitantes,Crescimento populacional moderado (1-2% ao ano) é saudável. Crescimento muito rápido pode pressionar infraestrutura.
9caf2632-8a70-484b-ad3b-4a68164313d9,social,literacyRate,Taxa de Alfabetização,Percentual da população acima de 15 anos que sabe ler e escrever.,%,Meta: acima de 95%. Brasil tem média de 93%. Valores abaixo de 85% indicam desafios educacionais graves.
2d9c8e34-bb47-4a1f-9bf4-0b51677871ac,social,incomePerCapita,Renda per Capita,"Renda média mensal por habitante, incluindo todas as fontes (trabalho, aposentadorias, programas sociais).",R$/mês,Acima de R$ 1.500: renda razoável | R$ 1.000-1.500: vulnerabilidade | Abaixo de R$ 1.000: pobreza.
28f90bc7-35de-46f9-974e-74341302d8dc,environmental,vegetationCoverage,Cobertura Vegetal Nativa,"Percentual do território com vegetação nativa preservada (Cerrado, florestas).",%,Ideal: acima de 80% no Tocantins. Entre 60-80%: atenção. Abaixo de 60%: crítico para biodiversidade.
0d84d4bc-2bd1-4d87-a7df-176beed7a0af,environmental,deforestedArea,Área Desmatada Acumulada,Total de área que já foi desmatada ao longo do tempo.,km²,Tendência de crescimento indica pressão sobre ecossistemas. Estabilização ou redução é o ideal.
4f061ca4-49cd-4894-94db-27772c0c3f58,environmental,waterQuality,IQA (Índice de Qualidade da Água),Mede a qualidade da água dos rios e reservatórios. Escala de 0 a 100.,pontos,91-100: Ótima | 71-90: Boa | 51-70: Razoável | 26-50: Ruim | 0-25: Péssima qualidade da água.
85afef37-3942-44d3-9675-dad40ab65c94,environmental,co2Emissions,Emissões de CO₂,"Total de gases de efeito estufa emitidos (queimadas, transporte, indústria, agropecuária).",toneladas,Tendência de queda é essencial para combate às mudanças climáticas. Aumento indica maior pressão ambiental.
